,filename,abs_lx,abs_ly,abs_rx,abs_ry,open_eyes
30,071/3/2022-11-14 10:45:21.522188-30.jpg,359.24453,527.4640300000001,807.43309,543.031125,1.0
31,071/3/2022-11-14 10:45:21.528222-31.jpg,355.882515,525.406405,811.5859250000001,550.06247,1.0
32,071/3/2022-11-14 10:45:21.535136-32.jpg,355.01717,524.997535,808.38545,547.318415,1.0
33,071/3/2022-11-14 10:45:21.540824-33.jpg,354.46418,522.093135,800.5972300000001,542.97803,1.0
34,071/3/2022-11-14 10:45:21.549783-34.jpg,356.980545,517.89321,796.3424300000001,543.4990849999999,1.0
35,071/3/2022-11-14 10:45:21.556512-35.jpg,356.32592,516.04768,803.87261,540.5693650000001,1.0
36,071/3/2022-11-14 10:45:21.562227-36.jpg,357.54662,516.121005,794.8255000000001,538.709625,1.0
37,071/3/2022-11-14 10:45:21.566671-37.jpg,352.17086500000005,516.141605,795.93147,541.7526849999999,1.0
38,071/3/2022-11-14 10:45:21.571932-38.jpg,352.25888,516.922705,803.113935,541.09364,1.0
39,071/3/2022-11-14 10:45:21.578231-39.jpg,348.222645,516.92745,800.0722400000001,541.36121,1.0
40,071/3/2022-11-14 10:45:21.584441-40.jpg,352.282775,520.425335,795.60744,542.350315,1.0
41,071/3/2022-11-14 10:45:21.590847-41.jpg,356.703195,520.092695,797.80605,543.7435150000001,1.0
42,071/3/2022-11-14 10:45:21.600025-42.jpg,353.779615,516.50175,804.269775,539.76985,1.0
43,071/3/2022-11-14 10:45:21.606236-43.jpg,359.426685,523.40673,802.1257599999999,544.39938,1.0
44,071/3/2022-11-14 10:45:21.611985-44.jpg,358.337905,527.1964800000001,800.68087,543.7265199999999,1.0
45,071/3/2022-11-14 10:45:21.616433-45.jpg,361.04632,526.01501,800.9674300000001,546.26837,1.0
46,071/3/2022-11-14 10:45:21.622016-46.jpg,355.09079,521.469595,802.90233,545.573935,1.0
47,071/3/2022-11-14 10:45:21.628308-47.jpg,352.910865,526.1386,801.3981450000001,546.835955,1.0
48,071/3/2022-11-14 10:45:21.637908-48.jpg,353.87843,523.21943,799.036205,546.88245,1.0
49,071/3/2022-11-14 10:45:21.645796-49.jpg,352.03772,520.49434,805.362665,546.52043,1.0
50,071/3/2022-11-14 10:45:21.654570-50.jpg,356.61721,523.36149,805.0359199999999,546.09456,1.0
51,071/3/2022-11-14 10:45:21.659637-51.jpg,353.641655,519.8621499999999,808.147285,546.36912,1.0
52,071/3/2022-11-14 10:45:21.663563-52.jpg,357.068435,524.1518,803.52901,547.816985,1.0
53,071/3/2022-11-14 10:45:21.666994-53.jpg,359.63502500000004,526.46724,807.70957,545.553105,1.0
54,071/3/2022-11-14 10:45:21.671921-54.jpg,365.78847500000006,525.0791899999999,805.8318899999999,545.509505,1.0
55,071/3/2022-11-14 10:45:21.678187-55.jpg,364.079745,526.3324600000001,807.5097349999999,546.09618,1.0
56,071/3/2022-11-14 10:45:21.684407-56.jpg,365.658355,529.56864,810.98452,547.4609700000001,1.0
57,071/3/2022-11-14 10:45:21.690704-57.jpg,367.16775500000006,528.404715,806.91049,545.15139,1.0
58,071/3/2022-11-14 10:45:21.696963-58.jpg,368.86868,533.4944350000001,808.702145,547.27347,1.0
59,071/3/2022-11-14 10:45:21.703522-59.jpg,369.278925,532.55414,807.861715,545.2854050000001,1.0
60,071/3/2022-11-14 10:45:21.709594-60.jpg,372.21926,527.9620150000001,808.546935,546.0863400000001,1.0
61,071/3/2022-11-14 10:45:21.716143-61.jpg,369.83506,531.17939,811.6944599999999,546.0878,1.0
62,071/3/2022-11-14 10:45:21.721943-62.jpg,368.106515,531.343885,810.2265,546.89086,1.0
63,071/3/2022-11-14 10:45:21.728310-63.jpg,370.22983,527.65337,809.51993,547.65146,1.0
64,071/3/2022-11-14 10:45:21.734555-64.jpg,368.024395,527.20683,811.7750100000001,549.57056,1.0
65,071/3/2022-11-14 10:45:21.740969-65.jpg,369.81402,529.09094,811.2076099999999,546.028905,1.0
66,071/3/2022-11-14 10:45:21.747136-66.jpg,369.97777,528.47316,810.3490949999999,549.007955,1.0
67,071/3/2022-11-14 10:45:21.753413-67.jpg,367.97362,529.10325,809.6055,550.006115,1.0
68,071/3/2022-11-14 10:45:21.759494-68.jpg,369.881,528.10171,811.32193,546.82231,1.0
69,071/3/2022-11-14 10:45:21.766043-69.jpg,370.92793,525.7724499999999,809.04466,547.7859500000001,1.0
70,071/3/2022-11-14 10:45:21.772302-70.jpg,372.98209,527.880745,814.5849600000001,547.1643799999999,1.0
71,071/3/2022-11-14 10:45:21.781865-71.jpg,371.316845,530.808745,813.3529900000001,548.076765,1.0
72,071/3/2022-11-14 10:45:21.791140-72.jpg,372.825555,532.4199,809.5243350000001,548.37518,1.0
73,071/3/2022-11-14 10:45:21.799050-73.jpg,370.7726750000001,531.038055,809.832965,548.8073449999999,1.0
74,071/3/2022-11-14 10:45:21.806006-74.jpg,374.266925,532.6341749999999,812.121425,546.3758700000001,1.0
75,071/3/2022-11-14 10:45:21.810849-75.jpg,373.45623,530.61168,809.26317,547.31948,1.0
76,071/3/2022-11-14 10:45:21.815360-76.jpg,370.500905,528.02556,808.961945,545.881075,1.0
77,071/3/2022-11-14 10:45:21.819114-77.jpg,371.310705,525.928735,806.6637549999999,547.14244,1.0
78,071/3/2022-11-14 10:45:21.822757-78.jpg,371.262585,524.999015,810.6969449999999,545.7926150000001,1.0
79,071/3/2022-11-14 10:45:21.828240-79.jpg,373.438,527.80248,811.1579700000001,544.71283,1.0
80,071/3/2022-11-14 10:45:21.834557-80.jpg,373.20995,526.91231,809.097995,544.889095,1.0
81,071/3/2022-11-14 10:45:21.843241-81.jpg,379.32573,526.7830200000001,814.1231949999999,546.95877,1.0
